"1","亜","亞","二","7","S","","","ア"
"2","哀","","口","9","S","","","アイ、あわ-れ、あわ-れむ"
"3","挨","","手","10","S","2010","","アイ"
"4","愛","","心","13","4","","","アイ"
"5","曖","","日","17","S","2010","","アイ"
"6","悪","惡","心","11","3","","","アク、オ、わる-い"
"7","握","","手","12","S","","","アク、にぎ-る"
"8","圧","壓","土","5","5","","","アツ"
"9","扱","","手","6","S","","","あつか-う"
"10","宛","","宀","8","S","2010","","あ-てる"
"11","嵐","","山","12","S","2010","","あらし"
"12","安","","宀","6","3","","","アン、やす-い"
"13","案","","木","10","4","","","アン"
"14","暗","","日","13","3","","","アン、くら-い"
"15","以","","人","5","4","","","イ"
"16","衣","","衣","6","4","","","イ、ころも"
"17","位","","人","7","4","","","イ、くらい"
"18","囲","圍","囗","7","5","","","イ、かこ-む、かこ-う"
"19","医","醫","酉","7","3","","","イ"
"20","依","","人","8","S","","","イ、（エ）"
"21","委","","女","8","3","","","イ、ゆだ-ねる"
"22","威","","女","9","S","","","イ"
"23","為","爲","爪","9","S","","","イ"
"24","畏","","田","9","S","2010","","イ、おそ-れる"
"25","胃","","肉","9","6","","","イ"
"26","尉","","寸","11","S","","","イ"
"27","異","","田","11","6","","","イ、こと"
"28","移","","禾","11","5","","","イ、うつ-る、うつ-す"
"29","萎","","艸","11","S","2010","","イ、な-える"
"30","偉","","人","12","S","","","イ、えら-い"
"31","椅","","木","12","S","2010","","イ"
"32","彙 [6]","","彐","13","S","2010","","イ"
"33","意","","心","13","3","","","イ"
"34","違","","辵","13","S","","","イ、ちが-う、ちが-える"
"35","維","","糸","14","S","","","イ"
"36","慰","","心","15","S","","","イ、なぐさ-める、なぐさ-む"
"37","遺","","辵","15","6","","","イ、（ユイ）"
"38","緯","","糸","16","S","","","イ"
"39","域","","土","11","6","","","イキ"
"40","育","","肉","8","3","","","イク、そだ-つ、そだ-てる、はぐく-む"
"41","一","","一","1","1","","","イチ、イツ、ひと、ひと-つ"
"42","壱","壹","士","7","S","","","イチ"
"43","逸","逸 [9]","辵","11","S","","","イツ"
"44","茨 [5]","","艸","9","4","2010","","（いばら）[10]"
"45","芋","","艸","6","S","","","いも"
"46","引","","弓","4","2","","","イン、ひ-く、ひ-ける"
"47","印","","卩","6","4","","","イン、しるし"
"48","因","","囗","6","5","","","イン、よ-る"
"49","咽","","口","9","S","2010","","イン"
"50","姻","","女","9","S","","","イン"
"51","員","","口","10","3","","","イン"
"52","院","","阜","10","3","","","イン"
"53","淫 [6][11]","","水","11","S","2010","","イン、みだ-ら"
"54","陰","","阜","11","S","","","イン、かげ、かげ-る"
"55","飲","飮 [4]","食","12","3","","","イン、の-む"
"56","隠","隱","阜","14","S","","","イン、かく-す、かく-れる"
"57","韻","","音","19","S","","","イン"
"58","右","","口","5","1","","","ウ、ユウ、みぎ"
"59","宇","","宀","6","6","","","ウ"
"60","羽","羽 [4][9]","羽","6","2","","","ウ、は、はね"
"61","雨","","雨","8","1","","","ウ、あめ、（あま）"
"62","唄","","口","10","S","2010","","（うた）"
"63","鬱","","鬯","29","S","2010","","ウツ"
"64","畝","","田","10","S","","","うね"
"65","浦","","水","10","S","","","うら"
"66","運","","辵","12","3","","","ウン、はこ-ぶ"
"67","雲","","雨","12","2","","","ウン、くも"
"68","永","","水","5","5","","","エイ、なが-い"
"69","泳","","水","8","3","","","エイ、およ-ぐ"
"70","英","","艸","8","4","","","エイ"
"71","映","","日","9","6","","","エイ、うつ-る、うつ-す、は-える"
"72","栄","榮","木","9","4","","","エイ、さか-える、は-え、は-える"
"73","営","營","火","12","5","","","エイ、いとな-む"
"74","詠","","言","12","S","","","エイ、よ-む"
"75","影","","彡","15","S","","","エイ、かげ"
"76","鋭","銳 [4]","金","15","S","","","エイ、するど-い"
"77","衛","衞","行","16","5","","","エイ"
"78","易","","日","8","5","","","エキ、イ、やさ-しい"
"79","疫","","疒","9","S","","","エキ、（ヤク）"
"80","益","益 [4][9]","皿","10","5","","","エキ、（ヤク）"
"81","液","","水","11","5","","","エキ"
"82","駅","驛","馬","14","3","","","エキ"
"83","悦","悅 [4]","心","10","S","","","エツ"
"84","越","","走","12","S","","","エツ、こ-す、こ-える"
"85","謁","謁 [9]","言","15","S","","","エツ"
"86","閲","閱 [4]","門","15","S","","","エツ"
"87","円","圓","囗","4","1","","","エン、まる-い"
"88","延","","廴","8","6","","","エン、の-びる、の-べる、の-ばす"
"89","沿","","水","8","6","","","エン、そ-う"
"90","炎","","火","8","S","","","エン、ほのお"
"91","怨","","心","9","S","2010","","エン、オン"
"92","宴","","宀","10","S","","","エン"
"93","媛","","女","12","4","2010","","エン"
"94","援","","手","12","S","","","エン"
"95","園","","囗","13","2","","","エン、その"
"96","煙","","火","13","S","","","エン、けむ-る、けむり、けむ-い"
"97","猿","","犬","13","S","1981","","エン、さる"
"98","遠","","辵","13","2","","","エン、（オン）、とお-い"
"99","鉛","","金","13","S","","","エン、なまり"
"100","塩","鹽","鹵","13","4","","","エン、しお"
"101","演","","水","14","5","","","エン"
"102","縁","緣","糸","15","S","","","エン、ふち"
"103","艶","艷","色","19","S","2010","","エン、つや"
"104","汚","","水","6","S","","","オ、けが-す、けが-れる、けが-らわしい、よご-す、よご-れる、きたな-い"
"105","王","","玉","4","1","","","オウ"
"106","凹","","凵","5","S","1981","","オウ"
"107","央","","大","5","3","","","オウ"
"108","応","應","心","7","5","","","オウ、こた-える"
"109","往","","彳","8","5","","","オウ"
"110","押","","手","8","S","","","オウ、お-す、お-さえる"
"111","旺","","日","8","S","2010","","オウ"
"112","欧","歐","欠","8","S","","","オウ"
"113","殴","毆","殳","8","S","","","オウ、なぐ-る"
"114","桜","櫻","木","10","5","","","オウ、さくら"
"115","翁","","羽","10","S","","","オウ"
"116","奥","奧","大","12","S","","","オウ、おく"
"117","横","橫","木","15","3","","","オウ、よこ"
"118","岡","","山","8","4","2010","","（おか）[10]"
"119","屋","","尸","9","3","","","オク、や"
"120","億","","人","15","4","","","オク"
"121","憶","","心","16","S","","","オク"
"122","臆 [12]","","肉","17","S","2010","","オク"
"123","虞","","虍","13","S","","","おそれ"
"124","乙","","乙","1","S","","","オツ"
"125","俺","","人","10","S","2010","","おれ"
"126","卸","","卩","9","S","","","おろ-す、おろし"
"127","音","","音","9","1","","","オン、イン、おと、ね"
"128","恩","","心","10","6","","","オン"
"129","温","溫","水","12","3","","","オン、あたた-か、あたた-かい、あたた-まる、あたた-める"
"130","穏","穩","禾","16","S","","","オン、おだ-やか"
"131","下","","一","3","1","","","カ、ゲ、した、しも、もと、さ-げる、さ-がる、くだ-る、くだ-す、くだ-さる、お-ろす、お-りる"
"132","化","","匕","4","3","","","カ、ケ、ば-ける、ば-かす"
"133","火","","火","4","1","","","カ、ひ、（ほ）"
"134","加","","力","5","4","","","カ、くわ-える、くわ-わる"
"135","可","","口","5","5","","","カ"
"136","仮","假","人","6","5","","","カ、（ケ）、かり"
"137","何","","人","7","2","","","カ、なに、（なん）"
"138","花","","艸","7","1","","","カ、はな"
"139","佳","","人","8","S","","","カ"
"140","価","價","人","8","5","","","カ、あたい"
"141","果","","木","8","4","","","カ、は-たす、は-てる、は-て"
"142","河","","水","8","5","","","カ、かわ"
"143","苛","","艸","8","S","2010","","カ"
"144","科","","禾","9","2","","","カ"
"145","架","","木","9","S","","","カ、か-ける、か-かる"
"146","夏","","夊","10","2","","","カ、（ゲ）、なつ"
"147","家","","宀","10","2","","","カ、ケ、いえ、や"
"148","荷","","艸","10","3","","","カ、に"
"149","華","","艸","10","S","","","カ、（ケ）、はな"
"150","菓","","艸","11","S","","","カ"
"151","貨","","貝","11","4","","","カ"
"152","渦","","水","12","S","1981","","カ、うず"
"153","過","","辵","12","5","","","カ、す-ぎる、す-ごす、あやま-つ、あやま-ち"
"154","嫁","","女","13","S","","","カ、よめ、とつ-ぐ"
"155","暇","","日","13","S","","","カ、ひま"
"156","禍","禍 [9]","示","13","S","","","カ"
"157","靴","","革","13","S","1981","","カ、くつ"
"158","寡","","宀","14","S","","","カ"
"159","歌","","欠","14","2","","","カ、うた、うた-う"
"160","箇","","竹","14","S","","","カ"
"161","稼","","禾","15","S","1981","","カ、かせ-ぐ"
"162","課","","言","15","4","","","カ"
"163","蚊","","虫","10","S","","","か"
"164","牙 [5]","","牙","4","S","2010","","ガ、（ゲ）、きば"
"165","瓦","","瓦","5","S","2010","","ガ、かわら"
"166","我","","戈","7","6","","","ガ、われ、わ"
"167","画","畫","田","8","2","","","ガ、カク"
"168","芽","","艸","8","4","","","ガ、め"
"169","賀","","貝","12","4","","","ガ"
"170","雅","","隹","13","S","","","ガ"
"171","餓","","食","15","S","","","ガ"
"172","介","","人","4","S","","","カイ"
"173","回","","囗","6","2","","","カイ、（エ）、まわ-る、まわ-す"
"174","灰","","火","6","6","","","カイ、はい"
"175","会","會","曰","6","2","","","カイ、エ、あ-う"
"176","快","","心","7","5","","","カイ、こころよ-い"
"177","戒","","戈","7","S","","","カイ、いまし-める"
"178","改","","攴","7","4","","","カイ、あらた-める、あらた-まる"
"179","怪","","心","8","S","","","カイ、あや-しい、あや-しむ"
"180","拐","","手","8","S","1981","","カイ"
"181","悔","悔 [9]","心","9","S","","","カイ、く-いる、く-やむ、くや-しい"
"182","海","海 [9]","水","9","2","","","カイ、うみ"
"183","界","","田","9","3","","","カイ"
"184","皆","","白","9","S","","","カイ、みな"
"185","械","","木","11","4","","","カイ"
"186","絵","繪","糸","12","2","","","カイ、エ"
"187","開","","門","12","3","","","カイ、ひら-く、ひら-ける、あ-く、あ-ける"
"188","階","","阜","12","3","","","カイ"
"189","塊","","土","13","S","","","カイ、かたまり"
"190","楷","","木","13","S","2010","","カイ"
"191","解","","角","13","5","","","カイ、ゲ、と-く、と-かす、と-ける"
"192","潰","","水","15","S","2010","","カイ、つぶ-す、つぶ-れる"
"193","壊","壞","土","16","S","","","カイ、こわ-す、こわ-れる"
"194","懐","懷","心","16","S","","","カイ、ふところ、なつ-かしい、なつ-かしむ、なつ-く、なつ-ける"
"195","諧","","言","16","S","2010","","カイ"
"196","貝","","貝","7","1","","","かい"
"197","外","","夕","5","2","","","ガイ、ゲ、そと、ほか、はず-す、はず-れる"
"198","劾","","力","8","S","","","ガイ"
"199","害","","宀","10","4","","","ガイ"
"200","崖","","山","11","S","2010","","ガイ、がけ"
"201","涯","","水","11","S","1981","","ガイ"
"202","街","","行","12","4","","","ガイ、（カイ）、まち"
"203","慨","慨 [9]","心","13","S","","","ガイ"
"204","蓋","","艸","13","S","2010","","ガイ、ふた"
"205","該","","言","13","S","","","ガイ"
"206","概","槪","木","14","S","","","ガイ"
"207","骸 [12]","","骨","16","S","2010","","ガイ"
"208","垣","","土","9","S","1981","","かき"
"209","柿","","木","9","S","2010","","かき"
"210","各","","口","6","4","","","カク、おのおの"
"211","角","","角","7","2","","","カク、かど、つの"
"212","拡","擴","手","8","6","","","カク"
"213","革","","革","9","6","","","カク、かわ"
"214","格","","木","10","5","","","カク、（コウ）"
"215","核","","木","10","S","","","カク"
"216","殻","殼","殳","11","S","1981","","カク、から"
"217","郭","","邑","11","S","","","カク"
"218","覚","覺","見","12","4","","","カク、おぼ-える、さ-ます、さ-める"
"219","較","","車","13","S","","","カク"
"220","隔","","阜","13","S","","","カク、へだ-てる、へだ-たる"
"221","閣","","門","14","6","","","カク"
"222","確","","石","15","5","","","カク、たし-か、たし-かめる"
"223","獲","","犬","16","S","","","カク、え-る"
"224","嚇","","口","17","S","","","カク"
"225","穫","","禾","18","S","","","カク"
"226","学","學","子","8","1","","","ガク、まな-ぶ"
"227","岳","嶽","山","8","S","","","ガク、たけ"
"228","楽","樂","木","13","2","","","ガク、ラク、たの-しい、たの-しむ"
"229","額","","頁","18","5","","","ガク、ひたい"
"230","顎","","頁","18","S","2010","","ガク、あご"
"231","掛","","手","11","S","","","か-ける、か-かる、かかり"
"232","潟","","水","15","4","1981","","かた"
"233","括","","手","9","S","","","カツ"
"234","活","","水","9","2","","","カツ"
"235","喝","喝 [9]","口","11","S","1981","","カツ"
"236","渇","渴","水","11","S","","","カツ、かわ-く"
"237","割","","刀","12","6","","","カツ、わ-る、わり、わ-れる、さ-く"
"238","葛 [6][11]","","艸","12","S","2010","","カツ、くず"
"239","滑","","水","13","S","","","カツ、コツ、すべ-る、なめ-らか"
"240","褐","褐 [9]","衣","13","S","1981","","カツ"
"241","轄","","車","17","S","","","カツ"
"242","且","","一","5","S","","","か-つ"
"243","株","","木","10","6","","","かぶ"
"244","釜","","金","10","S","2010","","かま"
"245","鎌","","金","18","S","2010","","かま"
"246","刈","","刀","4","S","","","か-る"
"247","干","","干","3","6","","","カン、ほ-す、ひ-る"
"248","刊","","刀","5","5","","","カン"
"249","甘","","甘","5","S","","","カン、あま-い、あま-える、あま-やかす"
"250","汗","","水","6","S","","","カン、あせ"
"251","缶","罐","缶","6","S","1981","","カン"
"252","完","","宀","7","4","","","カン"
"253","肝","","肉","7","S","","","カン、きも"
"254","官","","宀","8","4","","","カン"
"255","冠","","冖","9","S","","","カン、かんむり"
"256","巻","卷","卩","9","6","","","カン、ま-く、まき"
"257","看","","目","9","6","","","カン"
"258","陥","陷","阜","10","S","","","カン、おちい-る、おとしい-れる"
"259","乾","","乙","11","S","","","カン、かわ-く、かわ-かす"
"260","勘","","力","11","S","","","カン"
"261","患","","心","11","S","","","カン、わずら-う"
"262","貫","","貝","11","S","","","カン、つらぬ-く"
"263","寒","","宀","12","3","","","カン、さむ-い"
"264","喚","","口","12","S","","","カン"
"265","堪","","土","12","S","","","カン、た-える"
"266","換","","手","12","S","","","カン、か-える、か-わる"
"267","敢","","攴","12","S","","","カン"
"268","棺","","木","12","S","","","カン"
"269","款","","欠","12","S","","","カン"
"270","間","","門","12","2","","","カン、ケン、あいだ、ま"
"271","閑","","門","12","S","","","カン"
"272","勧","勸","力","13","S","","","カン、すす-める"
"273","寛","寬","宀","13","S","","","カン"
"274","幹","","干","13","5","","","カン、みき"
"275","感","","心","13","3","","","カン"
"276","漢","漢 [9]","水","13","3","","","カン"
"277","慣","","心","14","5","","","カン、な-れる、な-らす"
"278","管","","竹","14","4","","","カン、くだ"
"279","関","關","門","14","4","","","カン、せき、かか-わる"
"280","歓","歡","欠","15","S","","","カン"
"281","監","","皿","15","S","","","カン"
"282","緩","","糸","15","S","","","カン、ゆる-い、ゆる-やか、ゆる-む、ゆる-める"
"283","憾","","心","16","S","","","カン"
"284","還","","辵","16","S","","","カン"
"285","館","館 [4][9]","食","16","3","","","カン、やかた"
"286","環","","玉","17","S","","","カン"
"287","簡","","竹","18","6","","","カン"
"288","観","觀","見","18","4","","","カン"
"289","韓 [5]","","韋","18","S","2010","","カン"
"290","艦","","舟","21","S","","","カン"
"291","鑑","","金","23","S","","","カン、かんが-みる"
"292","丸","","丶","3","2","","","ガン、まる、まる-い、まる-める"
"293","含","","口","7","S","","","ガン、ふく-む、ふく-める"
"294","岸","","山","8","3","","","ガン、きし"
"295","岩","","山","8","2","","","ガン、いわ"
"296","玩","","玉","8","S","2010","","ガン"
"297","眼","","目","11","5","","","ガン、（ゲン）、まなこ"
"298","頑","","頁","13","S","1981","","ガン"
"299","顔","顏 [4]","頁","18","2","","","ガン、かお"
"300","願","","頁","19","4","","","ガン、ねが-う"
"301","企","","人","6","S","","","キ、くわだ-てる"
"302","伎","","人","6","S","2010","","キ"
"303","危","","卩","6","6","","","キ、あぶ-ない、あや-うい、あや-ぶむ"
"304","机","","木","6","6","","","キ、つくえ"
"305","気","氣","气","6","1","","","キ、ケ"
"306","岐","","山","7","4","","","キ"
"307","希","","巾","7","4","","","キ"
"308","忌","","心","7","S","","","キ、い-む、い-まわしい"
"309","汽","","水","7","2","","","キ"
"310","奇","","大","8","S","","","キ"
"311","祈","祈 [9]","示","8","S","","","キ、いの-る"
"312","季","","子","8","4","","","キ"
"313","紀","","糸","9","5","","","キ"
"314","軌","","車","9","S","","","キ"
"315","既","旣 [4]","无","10","S","","","キ、すで-に"
"316","記","","言","10","2","","","キ、しる-す"
"317","起","","走","10","3","","","キ、お-きる、お-こる、お-こす"
"318","飢","","食","10","S","","","キ、う-える"
"319","鬼","","鬼","10","S","","","キ、おに"
"320","帰","歸","止","10","2","","","キ、かえ-る、かえ-す"
"321","基","","土","11","5","","","キ、もと、もとい"
"322","寄","","宀","11","5","","","キ、よ-る、よ-せる"
"323","規","","見","11","5","","","キ"
"324","亀","龜","龜","11","S","2010","","キ、かめ"
"325","喜","","口","12","5","","","キ、よろこ-ぶ"
"326","幾","","幺","12","S","","","キ、いく"
"327","揮","","手","12","6","","","キ"
"328","期","","月","12","3","","","キ、（ゴ）"
"329","棋","","木","12","S","","","キ"
"330","貴","","貝","12","6","","","キ、たっと-い、とうと-い、たっと-ぶ、とうと-ぶ"
"331","棄","","木","13","S","","","キ"
"332","毀","","殳","13","S","2010","","キ"
"333","旗","","方","14","4","","","キ、はた"
"334","器","器 [9]","口","15","4","","","キ、うつわ"
"335","畿","","田","15","S","2010","","キ"
"336","輝","","車","15","S","","","キ、かがや-く"
"337","機","","木","16","4","","","キ、はた"
"338","騎","","馬","18","S","","","キ"
"339","技","","手","7","5","","","ギ、わざ"
"340","宜","","宀","8","S","","","ギ"
"341","偽","僞","人","11","S","","","ギ、いつわ-る、にせ"
"342","欺","","欠","12","S","","","ギ、あざむ-く"
"343","義","","羊","13","5","","","ギ"
"344","疑","","疋","14","6","","","ギ、うたが-う"
"345","儀","","人","15","S","","","ギ"
"346","戯","戲","戈","15","S","","","ギ、たわむ-れる"
"347","擬","","手","17","S","","","ギ"
"348","犠","犧","牛","17","S","","","ギ"
"349","議","","言","20","4","","","ギ"
"350","菊","","艸","11","S","","","キク"
"351","吉","","口","6","S","","","キチ、キツ"
"352","喫","","口","12","S","","","キツ"
"353","詰","","言","13","S","","","キツ、つ-める、つ-まる、つ-む"
"354","却","","卩","7","S","","","キャク"
"355","客","","宀","9","3","","","キャク、カク"
"356","脚","","肉","11","S","","","キャク、（キャ）、あし"
"357","逆","","辵","9","5","","","ギャク、さか、さか-らう"
"358","虐","","虍","9","S","","","ギャク、しいた-げる"
"359","九","","乙","2","1","","","キュウ、ク、ここの、ここの-つ"
"360","久","","丿","3","5","","","キュウ、（ク）、ひさ-しい"
"361","及","","又","3","S","","","キュウ、およ-ぶ、およ-び、およ-ぼす"
"362","弓","","弓","3","2","","","キュウ、ゆみ"
"363","丘","","一","5","S","","","キュウ、おか"
"364","旧","舊","臼","5","5","","","キュウ"
"365","休","","人","6","1","","","キュウ、やす-む、やす-まる、やす-める"
"366","吸","","口","6","6","","","キュウ、す-う"
"367","朽","","木","6","S","","","キュウ、く-ちる"
"368","臼","","臼","6","S","2010","","キュウ、うす"
"369","求","","水","7","4","","","キュウ、もと-める"
"370","究","","穴","7","3","","","キュウ、きわ-める"
"371","泣","","水","8","4","","","キュウ、な-く"
"372","急","","心","9","3","","","キュウ、いそ-ぐ"
"373","級","","糸","9","3","","","キュウ"
"374","糾","","糸","9","S","","","キュウ"
"375","宮","","宀","10","3","","","キュウ、グウ、（ク）、みや"
"376","救","","攴","11","5","","","キュウ、すく-う"
"377","球","","玉","11","3","","","キュウ、たま"
"378","給","","糸","12","4","","","キュウ"
"379","嗅 [6]","","口","13","S","2010","","キュウ、か-ぐ"
"380","窮","","穴","15","S","","","キュウ、きわ-める、きわ-まる"
"381","牛","","牛","4","2","","","ギュウ、うし"
"382","去","","厶","5","3","","","キョ、コ、さ-る"
"383","巨","","工","5","S","","","キョ"
"384","居","","尸","8","5","","","キョ、い-る"
"385","拒","","手","8","S","","","キョ、こば-む"
"386","拠","據","手","8","S","","","キョ、コ"
"387","挙","擧","手","10","4","","","キョ、あ-げる、あ-がる"
"388","虚","虛","虍","11","S","","","キョ、（コ）"
"389","許","","言","11","5","","","キョ、ゆる-す"
"390","距","","足","12","S","","","キョ"
"391","魚","","魚","11","2","","","ギョ、うお、さかな"
"392","御","","彳","12","S","","","ギョ、ゴ、おん"
"393","漁","","水","14","4","","","ギョ、リョウ"
"394","凶","","凵","4","S","","","キョウ"
"395","共","","八","6","4","","","キョウ、とも"
"396","叫","","口","6","S","","","キョウ、さけ-ぶ"
"397","狂","","犬","7","S","","","キョウ、くる-う、くる-おしい"
"398","京","","亠","8","2","","","キョウ、ケイ"
"399","享","","亠","8","S","","","キョウ"
"400","供","","人","8","6","","","キョウ、（ク）、そな-える、とも"
"401","協","","十","8","4","","","キョウ"
"402","況","","水","8","S","","","キョウ"
"403","峡","峽","山","9","S","","","キョウ"
"404","挟","挾","手","9","S","1981","","キョウ、はさ-む、はさ-まる"
"405","狭","狹","犬","9","S","","","キョウ、せま-い、せば-める、せば-まる"
"406","恐","","心","10","S","","","キョウ、おそ-れる、おそ-ろしい"
"407","恭","","心","10","S","","","キョウ、うやうや-しい"
"408","胸","","肉","10","6","","","キョウ、むね、（むな）"
"409","脅","","肉","10","S","","","キョウ、おびや-かす、おど-す、おど-かす"
"410","強","","弓","11","2","","","キョウ、ゴウ、つよ-い、つよ-まる、つよ-める、し-いる"
"411","教","敎 [4]","攴","11","2","","","キョウ、おし-える、おそ-わる"
"412","郷","鄕","邑","11","6","","","キョウ、ゴウ"
"413","境","","土","14","5","","","キョウ、（ケイ）、さかい"
"414","橋","","木","16","3","","","キョウ、はし"
"415","矯","","矢","17","S","1981","","キョウ、た-める"
"416","鏡","","金","19","4","","","キョウ、かがみ"
"417","競","","立","20","4","","","キョウ、ケイ、きそ-う、せ-る"
"418","響","響 [9]","音","20","S","","","キョウ、ひび-く"
"419","驚","","馬","22","S","","","キョウ、おどろ-く、おどろ-かす"
"420","仰","","人","6","S","","","ギョウ、（コウ）、あお-ぐ、おお-せ"
"421","暁","曉","日","12","S","","","ギョウ、あかつき"
"422","業","","木","13","3","","","ギョウ、ゴウ、わざ"
"423","凝","","冫","16","S","","","ギョウ、こ-る、こ-らす"
"424","曲","","曰","6","3","","","キョク、ま-がる、ま-げる"
"425","局","","尸","7","3","","","キョク"
"426","極","","木","12","4","","","キョク、ゴク、きわ-める、きわ-まる、きわ-み"
"427","玉","","玉","5","1","","","ギョク、たま"
"428","巾","","巾","3","S","2010","","キン"
"429","斤","","斤","4","S","","","キン"
"430","均","","土","7","5","","","キン"
"431","近","","辵","7","2","","","キン、ちか-い"
"432","金","","金","8","1","","","キン、コン、かね、（かな）"
"433","菌","","艸","11","S","","","キン"
"434","勤","勤 [9]","力","12","6","","","キン、（ゴン）、つと-める、つと-まる"
"435","琴","","玉","12","S","","","キン、こと"
"436","筋","","竹","12","6","","","キン、すじ"
"437","僅 [6][11]","","人","13","S","2010","","キン、わず-か"
